RegionName,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08
United States,100800,101100,101300,101400,101200,101000,101200,101500,101900,102400,102800,103200,103500,103700,103900,104200,104500,105100,105600,106200,106600,106800,107500,108200,108200,108100,108700,109600,110300,110800,111200,111500,111900,112600,113200,114000,114700,115400,116000,116600,117100,117500,118000,118600,119100,119900,120700,121500,122300,122900,123400,123900,124500,125200,125900,126400,127100,127900,128600,129000,129700,130500,131200,131700,132300,132700,133200,133800,134600,135200,135700,136000,136400,137100,137800,138500,139600,140500,141300,142300,143100,143600,144300,145300,146200,147100,148100,149100,149900,150900,152000,153200,154500,155600,156800,158100,159500,160800,162000,163600,165200,166700,167900,169100,170600,172400,174100,175800,177200,178600,180400,182400,183900,185300,186800,188300,189500,190400,191100,192000,193100,194100,194700,195000,195100,195700,195900,195700,195600,195700,195800,196000,196400,196300,195800,195000,194400,193600,192500,191400,190300,189100,187600,185900,184100,182800,181600,180400,179400,178500,177700,177000,176300,175600,174900,174100,173200,172100,171000,170100,169400,168700,168200,168000,167600,167200,167000,166400,165800,165300,164800,163900,163100,162300,161400,160500,159500,158700,157900,157100,156300,155600,154800,154300,153700,153000,152500,152600,152400,152200,152200,152200,152300,152800,153400,153900,154400,155000,155700,156100,156600,157100,157500,158200,159000,159900,161200,162700,163900,165100,166400,167400,168500,169700,170500,171800,173200,173900,174200,174700,175100,175700,176100,176400,176700,176900,177400,178100,178700,179400,180100,180500,180800
New York, NY,168500,169100,169200,168600,168100,167700,166800,165400,164400,164600,165600,166500,166900,167200,167400,167700,168100,168700,169200,169900,170500,171600,173000,174200,174800,175200,175700,176400,177000,177500,178400,179800,181000,182300,183900,185400,186600,188400,190400,192200,194000,195800,197400,199500,202400,205400,207900,209800,211300,213200,215600,218000,220300,223000,225700,228100,229900,232200,235000,237500,239700,242000,244000,246400,249200,252300,255500,258500,261400,262800,263700,266000,270200,274000,277600,281500,285900,289800,293400,297300,301000,304600,308700,313100,316300,319500,323700,327800,330800,333300,336000,338700,343000,348400,352700,355300,358700,362400,365900,369700,374300,378900,383600,388400,392700,397000,401800,407200,412200,416700,420800,424800,428400,432000,435500,438700,441200,443400,445400,447200,448800,450100,450900,451300,451300,450900,450300,449600,448300,446900,446100,445800,445300,445000,443800,441700,439400,437500,436000,434700,432900,430800,428200,425200,421800,418400,415100,412000,409100,405900,402300,398500,395300,393000,391000,388200,385400,382800,380700,379000,377700,376800,376500,376600,376700,376800,376800,376700,376500,376400,376100,375500,374800,373800,372500,371200,370000,368800,367600,366000,363900,361800,360400,359200,357700,356200,354700,353200,351600,349900,348500,347500,346800,346400,346400,346700,347300,347800,348100,348400,348800,348900,349100,349800,351000,352600,354700,357000,358800,360600,362900,365200,367200,369200,370600,372100,375400,378300,378600,378400,379200,379500,379700,380100,379900,379800,381000,382400,382600,382600,383100,383600,384100
Los Angeles, CA,172700,172800,172700,172500,172300,172200,172500,172900,173400,174200,175200,175700,175900,176100,176400,176800,177300,178000,178900,180100,181600,183500,185300,187200,189000,190400,191800,193400,195300,197400,199400,201500,203200,204800,206700,208500,209900,211200,213100,214800,215900,217000,218500,220300,222400,224900,227600,229900,231900,234200,236200,238000,239900,241900,243800,245700,248000,250500,253100,255700,258000,260100,262200,264400,266800,269200,271600,274100,276900,280200,283600,287000,291100,296000,300600,305500,311100,316900,322400,328200,333800,339300,344500,349700,354600,359100,363500,368500,374600,381100,388300,396200,404500,412600,421300,430900,441700,453600,466200,477700,487200,494900,501400,506800,511800,516700,522200,529000,536800,544400,552200,560800,569800,578300,586000,593200,599200,603900,607300,609900,611500,612800,614000,614200,613000,611700,610500,608100,604800,603000,602300,600100,597300,593800,588900,583500,578100,571800,565700,559200,551600,543300,534700,524600,513100,502000,492100,482800,473900,466000,459200,453300,448800,445300,441400,437700,435000,432300,430600,430300,430800,431400,431900,432800,434100,434700,435400,436200,436500,436200,434400,431600,429400,427500,425100,423400,422300,420500,418100,415500,412800,410200,407700,405200,402800,401100,399900,399000,398000,397300,397100,397700,399000,401000,403400,406200,409200,412600,416100,420200,425300,431000,436800,443500,451200,459800,468900,477000,483700,489800,495400,500400,505000,509000,511900,515200,518800,521600,522300,522400,522800,523600,525200,525300,523800,524000,527800,531100,533900,535500,537200,540600,544300
Chicago, IL,,,,,,,,,,137200,137400,137600,137700,137500,137400,137500,137800,138100,138400,138900,139600,140200,140600,140900,141000,141400,141800,142200,142500,142900,143500,144100,144600,145200,146000,146700,147300,148100,149000,149600,150200,151100,152300,153300,154300,155600,156800,157900,159000,160000,160800,161700,162400,163300,164300,165400,166800,168200,169200,170200,171400,172700,173700,174400,175500,176700,178100,179400,180800,182200,183600,184900,185900,186400,186800,187800,189100,190300,191500,192900,194300,195700,197200,198900,200500,202400,205300,207900,209400,210600,211200,211800,212600,213600,214700,215700,216800,218100,219300,220600,222300,223400,223700,223800,223900,224300,224500,225000,226400,227800,229100,230400,231800,233000,234500,236000,237300,238700,240000,241100,241900,242300,242800,243100,243200,243300,243800,244300,244500,244400,244300,244600,244300,243700,243000,242300,241400,240500,239800,239200,238200,236800,235100,233100,231400,230200,228300,225800,223700,221900,220300,218800,217400,216200,215000,213600,212100,210300,208500,207300,206400,205900,205500,204800,204100,203700,202700,201400,200300,199400,198300,197100,195700,193900,191800,189600,187800,186000,184900,184000,182300,180000,178000,176100,174200,172600,171100,170000,168800,167500,166400,165600,165000,165000,165100,165100,165100,165100,164800,164600,164700,165000,165200,165800,166500,167300,169100,171200,172900,174500,176400,178200,179700,181100,182300,183500,184800,185600,185700,185900,186500,187200,187800,188100,188100,187600,187500,187600,188000,188800,189700,190600,191200
Dallas-Fort Worth, TX,100300,100400,100400,100600,100900,101000,101000,98600,95300,94200,95100,95400,95600,95600,95800,96100,96500,96900,97300,97900,98700,99500,100000,100300,100400,100300,100400,100600,100900,101000,101300,101900,102800,103500,103900,104500,105200,106000,106800,107700,108400,109100,109800,111000,112100,112600,113000,113300,113400,113900,114200,114200,114500,115000,115400,116000,116800,117400,117900,118300,118700,119300,119800,120000,120200,120600,121100,121600,122200,122700,122900,123200,123600,123900,124200,124700,125100,125400,125700,126100,126600,127100,127300,127700,128000,128100,128100,128200,128300,128600,128800,128900,129200,129900,131000,132100,133100,134100,135200,136300,137100,137700,138100,138400,138600,139000,139400,139700,140200,140600,140800,140800,140800,141000,141300,141600,142100,142400,142900,143100,143300,143600,144000,144300,144700,145000,145200,145600,145900,146000,146200,146400,146600,146800,147000,147400,147700,148200,148500,148800,148600,147700,146200,144800,143700,142700,141700,140800,140000,139200,138400,137700,137100,136700,136200,135500,134700,133800,133000,132900,132900,132900,133000,132800,132300,132300,132700,132800,132400,132000,131900,131600,131100,130600,130200,129800,129500,129200,128900,128800,128700,128500,128200,127700,127400,127100,126800,126900,127000,126900,127000,127200,127400,127800,128200,128500,128800,129200,129700,130500,131200,131900,132500,133500,134600,135500,136600,137800,138900,140000,140700,141000,141500,142200,142600,143100,144200,145300,146100,146800,147600,148500,149800,151600,153100,154500,156400,158500,160500,162600,164700,166600,168000
Philadelphia, PA,107000,107200,107500,107600,107500,107400,107300,107200,107100,107200,107500,107700,107500,107400,107100,107100,107100,107000,107000,107100,107400,108100,108800,109200,109500,109700,109700,109600,109700,109800,110100,110500,111000,111500,112200,112800,113100,113500,114000,114400,114700,115300,115900,116200,116300,116700,117400,118000,118600,119100,119500,120000,120700,121400,122000,122800,123600,124200,124700,125400,126300,127200,128000,128900,129900,130600,131400,132300,133400,134500,135700,136800,137900,139100,140400,141800,143200,144800,146300,147900,149800,151400,152900,154500,156100,157600,159300,161100,162800,164500,166500,168400,170000,171600,173300,175000,176800,179000,181200,183700,186200,188700,191100,193400,195900,198500,200800,203100,205500,207800,210300,213000,215400,217600,219700,221800,223600,224900,226100,227200,228500,229400,230200,230700,231000,231100,231200,231100,230700,230700,231100,231400,231600,231700,231500,231100,230800,230300,229600,228800,228000,227200,226200,225100,224400,223500,222700,222000,221200,220300,219300,218200,217400,217000,216800,216300,215500,214700,213900,213100,212700,212700,212900,213100,213100,212900,212700,212400,212200,212200,211600,210500,209100,207900,206800,205700,204600,203600,202600,201600,200300,198900,197600,196600,195700,194600,193500,192800,192300,192000,191700,191100,190400,189900,189400,189000,188700,188700,188500,188600,188800,188900,188900,189200,189500,189900,190700,191500,192200,192700,193400,194200,195100,195700,196400,197400,198700,199800,200400,201000,201600,201800,201800,201900,201600,201100,201100,201200,200900,200900,201300,201700,202200
Houston, TX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126300,126400,125600,124900,124000,123500,122700,121900,121400,121000,121100,121400,122100,121800,121200,120200,120200,120000,120000,119400,118800,118600,119600,120500,121100,120500,119900,119600,119800,120300,120700,120800,121000,121700,123000,124700,126800,127900,129200,130200,131900,132900,134300,134800,135600,135900,137400,138500,140200,144100,147600,150500,149800,149900,150300,151100,151800,152600,154200,156200,157900,158200,158900,159800,161000,162000
Washington, DC,157300,157400,157400,157200,156800,156500,156400,156300,156300,156700,157100,157300,157200,155900,154000,153000,152900,153100,153300,153600,154000,154900,155700,156200,156400,156700,156900,157200,157300,157500,158000,158500,158900,159500,160500,161300,161700,162300,163400,164600,165600,166400,167000,167800,169000,170300,171500,172400,173300,174800,176400,177700,178700,179900,181400,183100,185000,187000,189100,191400,193600,195700,198100,200700,203100,205500,207900,210000,212100,214600,217300,220000,223000,226300,229600,232700,236100,239600,243100,246700,250300,253600,256800,259800,262600,265300,268400,271600,274900,278300,282000,286000,290100,294500,299400,304700,310700,316800,323000,329800,337100,344300,351300,358000,364700,371100,377100,383400,390400,397200,403900,410200,415600,419900,423400,426700,429100,430700,431400,431600,431400,430900,429400,427300,425000,422800,420600,418600,416600,415100,414300,413500,412100,410300,407600,404400,401100,397700,394100,390300,386000,381200,375800,369900,364200,358800,353500,348800,344600,340800,337100,332800,329100,326900,325200,323100,321100,319000,317000,315600,314500,313900,314000,314600,314900,314900,314700,314500,314300,314600,315000,314800,314100,313300,312100,311200,310500,309600,308800,308500,307800,306600,306000,306000,306200,306200,306100,306400,306800,306900,307100,307800,308600,309600,310800,312100,313300,314000,314700,315700,316900,318200,319700,321400,323800,326800,330000,333400,336900,340200,343500,346300,349000,352000,353900,355100,356400,357900,358900,359100,358900,358400,358000,357900,357800,357700,358200,359000,359400,359500,359300,358700,358000
Miami-Fort Lauderdale, FL,95300,95300,95300,95200,95100,95200,95200,95300,95800,96300,96600,97000,97400,97600,97700,98000,98700,99000,99000,99000,99200,99700,100300,100600,100900,101300,101400,101400,101600,101900,102100,102600,103100,103500,104100,104800,105100,105500,106100,106700,107000,107400,107900,108500,109200,110000,110700,111500,112200,113200,114300,115400,116100,116800,117600,118500,119400,120400,121600,122800,124100,125500,127000,128400,129700,131200,133100,134700,136300,138100,139800,141200,142600,143900,145400,147200,149300,151500,153600,155600,157600,159500,161300,163300,165300,167200,169100,170900,172900,175000,177300,179500,181900,184700,187800,191100,194700,198900,203200,207500,212300,217200,222100,227200,232500,237900,243700,250000,256600,263300,270100,277200,283700,289400,294500,299100,302500,304800,307000,309300,311200,312200,312300,311900,311000,310000,308900,307800,306100,304600,302900,300500,297600,294100,290200,286300,282400,278200,273700,269500,264900,259400,253000,246400,239900,233700,227600,221800,215900,209600,203200,196900,191600,187700,183900,179300,174800,171200,168400,166000,164100,162900,162000,161400,161200,161000,160500,159700,159100,158900,158300,157200,155700,154000,152500,151400,150400,149400,148400,147900,147500,146700,145800,144900,144300,144400,144500,144600,144700,145000,146000,147700,149200,150300,151500,152700,154100,155500,156700,157900,159200,160300,162000,164000,165800,167600,169700,172300,174400,176900,180300,183100,185200,187900,190200,192300,194800,197400,199500,201300,202900,204400,205900,207600,209200,210300,211400,212600,214300,216300,218400,220700,222800
Atlanta, GA,108400,108600,108500,108500,108400,108400,108600,108900,109200,109500,109900,110200,110500,111000,111600,112200,112800,113500,114000,114500,115000,115600,116500,117300,117800,118200,118800,119400,120100,120800,121500,122200,123000,124000,124800,125500,126200,127000,128100,129100,129900,130600,131400,132400,133100,133900,134900,135900,136700,137600,138400,139200,139900,140400,141100,141900,142500,143000,143800,144500,145100,145500,146200,146800,147300,147900,148400,148700,149100,149800,150200,150500,151000,151600,151900,152400,152900,153200,153500,153900,154200,154600,155000,155300,155600,156000,156200,156300,156500,156900,157400,157900,158400,158700,159200,159500,159800,160000,160400,160800,161200,161700,162200,162600,163100,163800,164400,164900,165400,166000,166500,166900,167600,168300,169000,169800,170500,171000,171500,171900,172400,172900,173400,173900,174300,174500,174600,174800,174800,174100,173200,172900,173200,173300,173100,172900,172900,172800,172400,171900,171100,170300,169400,168400,167100,165600,164100,162600,160700,158500,156400,153900,151700,150800,150300,149200,147800,146600,145800,145100,144500,144100,143900,143700,143700,143800,143900,143600,143200,142600,141900,140700,139500,138500,137500,136400,135200,133800,132500,131300,129900,128500,127300,126200,125100,124100,123200,122700,122500,122200,121400,121000,121000,121000,120900,120800,120900,121000,121000,121100,121300,121700,122300,122900,123500,124600,126200,128200,130300,132200,134300,136700,138600,139900,140900,142300,144400,146300,147800,149000,150000,151000,152000,152700,153000,153100,153800,155100,155800,156400,157100,158000,158600
